date	rnum	rank	rankInten	rankOldAndNew	movieCd	movieNm	openDt	salesAmt	salesShare	salesInten	salesChange	salesAcc	audiCnt	audiInten	audiChange	audiAcc	scrnCnt	showCnt
20150102	4	4	0	OLD	20143081	그 사람 그 사랑 그 세상	2014-11-20	9268000	0.9	-199000	-2.1	171820500	1160	-42	-3.5	23230	6	17
20150102	5	5	0	OLD	20141114	쿼바디스	2014-12-10	2486500	0.2	-1560400	-38.6	119516300	332	-177	-34.8	15731	14	21
20150102	6	6	0	OLD	19900042	장군의 아들	1990-06-09	210000	0.0	-206000	-49.5	1656000	105	-103	-49.5	828	1	4
20150102	7	7	0	OLD	20141704	목숨	2014-12-04	589500	0.1	-810000	-57.9	276225100	75	-104	-58.1	35919	9	9
20150102	8	8	1	OLD	20141706	다이빙벨	2014-10-23	353000	0.0	-274000	-43.7	336584500	46	-33	-41.8	48617	3	3
20150102	9	9	-1	OLD	20142798	제자, 옥한흠	2014-10-30	252000	0.0	-435000	-63.3	356670200	29	-58	-66.7	48576	3	5
20150102	10	10	1	OLD	20137564	파티51	2014-12-11	152000	0.0	-73000	-32.4	13586800	19	-15	-44.1	1823	3	3
20150102	1	1	0	OLD	20137048	국제시장	2014-12-17	3782877729	80.3	-2347104771	-38.3	51002427825	470690	-281064	-37.4	6568121	930	4568
20150102	2	2	0	OLD	20149265	기술자들	2014-12-24	758620771	16.1	-541262929	-41.6	15710984619	95119	-65252	-40.7	2033573	481	1860
20150102	3	3	0	OLD	20147176	상의원	2014-12-24	149272900	3.2	-81211900	-35.2	5673482264	18455	-9984	-35.1	723526	264	494
20150102	4	4	0	OLD	20143639	뽀로로 극장판 눈요정 마을 대모험	 	15771200	0.3	-12075400	-43.4	1204167100	3214	-2347	-42.2	240650	50	69
20150102	5	5	0	OLD	20136802	카트	2014-11-13	1556000	0.0	-164800	-9.6	5915953433	176	-22	-11.1	812864	4	4
20150102	6	6	0	NEW	20134082	해무(海霧)	2014-08-13	600000	0.0	600000	100	11707382519	75	75	100	1475582	1	1
20150102	7	7	0	OLD	20143574	GROW: 인피니트의 리얼 청춘 라이프	2014-12-04	126000	0.0	72000	133.3	189589200	21	12	133.3	23895	1	1
20150102	8	8	-2	OLD	20128610	앙상블	2014-12-18	54000	0.0	-86000	-61.4	6099500	8	-8	-50	786	1	2
20150102	9	9	0	OLD	20143985	명기	2014-12-30	9000	0.0	0	0	656000	1	0	0	243	1	1
20150102	1	1	0	OLD	20143344	눈의 여왕 2: 트롤의 마법거울	2014-12-24	138739700	72.9	-94451000	-40.5	3995352100	18862	-12116	-39.1	548160	208	342
20150102	2	2	0	OLD	20143045	내일을 위한 시간	2015-01-01	16811500	8.8	-9287200	-35.6	67380300	2006	-1029	-33.9	8040	40	88
20150102	3	3	0	OLD	20141621	마미	2014-12-18	10167500	5.3	-3537000	-25.8	298623200	1213	-320	-20.9	37868	33	45
20150102	4	4	0	OLD	20143343	무드 인디고	2014-12-11	9884500	5.2	-916000	-8.5	286528200	1143	-89	-7.2	35759	31	49
20150102	5	5	0	OLD	20142964	클라우즈 오브 실스마리아	2014-12-18	5678000	3.0	-3892000	-40.7	186682299	704	-419	-37.3	23434	21	26
20150102	6	6	0	NEW	20142857	슈퍼처방전	2014-12-10	2013000	1.1	2013000	100	150092000	265	265	100	20184	5	5
20150102	7	7	2	OLD	20141783	맵 투 더 스타	2014-12-25	1779100	0.9	-220400	-11	43425300	222	-9	-3.9	5379	19	21
20150102	8	8	0	OLD	20142843	꾸뻬씨의 행복여행	2014-11-27	1341000	0.7	-787000	-37	902915783	174	-96	-35.6	122858	5	6
20150102	9	9	1	OLD	19770088	바람과 함께 사라지다	1972-12-23	349000	0.2	-35000	-9.1	36663000	173	-16	-8.5	13337	1	2
20150102	10	10	-3	OLD	19548009	7인의 신부	1972-12-24	332000	0.2	-244000	-42.4	11494000	166	-122	-42.4	5717	1	4
20150102	1	1	0	OLD	20143642	테이큰 3	2015-01-01	1603749100	46.4	-1040802000	-39.4	5262209200	195283	-126370	-39.3	662563	598	2920
20150102	2	2	0	OLD	20149859	마다가스카의 펭귄	2014-12-31	1205895028	34.9	-481621172	-28.5	3941908028	155954	-56825	-26.7	517623	554	1773
20150102	3	3	0	OLD	20140226	호빗: 다섯 군대 전투	2014-12-17	394231672	11.4	-215447128	-35.3	22432393816	44884	-25104	-35.9	2624759	343	833
20150102	4	4	0	OLD	20149120	인터스텔라	2014-11-06	159374800	4.6	-32768300	-17.1	81022942200	16804	-3832	-18.6	10142687	101	181
20150102	5	5	0	OLD	20143602	일곱난쟁이	2014-12-24	45337100	1.3	-20110100	-30.7	1428701200	6394	-2651	-29.3	200100	79	114
20150102	6	6	0	OLD	20143422	숲속으로	2014-12-24	34582800	1.0	-21189800	-38	2499918288	4515	-2680	-37.2	329116	116	175
20150102	7	7	0	NEW	19488009	레드 리버	 	1805000	0.1	1805000	100	3355000	900	900	100	1675	1	4
20150102	8	8	-1	OLD	20143543	사랑에 대한 모든 것	2014-12-10	2499000	0.1	-991300	-28.4	2130629146	279	-101	-26.6	273995	2	4
20150102	9	9	-1	OLD	20142421	러브, 로지	2014-12-10	2280500	0.1	-266000	-10.4	2228609646	258	-25	-8.8	292718	3	4
20150102	10	10	-1	OLD	20142182	빌리 엘리어트 뮤지컬 라이브	2014-11-27	1947000	0.1	-2650500	-57.7	347658500	99	-139	-58.4	18952	2	2
20150103	1	1	0	OLD	20141111	님아, 그 강을 건너지 마오	2014-11-27	1055815200	79.6	246040900	30.4	33190434579	130560	29975	29.8	4256464	483	1928
20150103	2	2	0	OLD	20130574	개를 훔치는 완벽한 방법	2014-12-31	214813036	16.2	36963707	20.8	1000664665	27647	4573	19.8	131354	191	607
20150103	3	3	0	OLD	20141614	더 테너 리리코 스핀토	2014-12-31	45638669	3.4	10206597	28.8	282055441	5618	1080	23.8	36472	176	335
20150103	4	4	1	OLD	20141114	쿼바디스	2014-12-10	4403200	0.3	1916700	77.1	123919500	595	263	79.2	16326	17	25
20150103	5	5	-1	OLD	20143081	그 사람 그 사랑 그 세상	2014-11-20	2730000	0.2	-6538000	-70.5	174550500	293	-867	-74.7	23523	5	12
20150103	6	6	1	OLD	20141704	목숨	2014-12-04	912000	0.1	322500	54.7	277137100	126	51	68	36045	11	11
20150103	7	7	-1	OLD	19900042	장군의 아들	1990-06-09	249000	0.0	39000	18.6	1905000	124	19	18.1	952	1	4
20150103	8	8	0	OLD	20141706	다이빙벨	2014-10-23	494000	0.0	141000	39.9	337078500	66	20	43.5	48683	5	6
20150103	9	9	0	OLD	20142798	제자, 옥한흠	2014-10-30	360000	0.0	108000	42.9	357030200	41	12	41.4	48617	2	3
20150103	10	10	0	OLD	20137564	파티51	2014-12-11	136000	0.0	-16000	-10.5	13722800	18	-1	-5.3	1841	4	4
20150103	1	1	0	OLD	20137048	국제시장	2014-12-17	5102642636	81.9	1319764907	34.9	56105070461	632713	162023	34.4	7200834	1044	5015
20150103	2	2	0	OLD	20149265	기술자들	2014-12-24	928245964	14.9	169625193	22.4	16639230583	115526	20407	21.5	2149099	451	1787
20150103	3	3	0	OLD	20147176	상의원	2014-12-24	173005400	2.8	23732500	15.9	5846487664	21288	2833	15.4	744814	254	451
20150103	4	4	0	OLD	20143639	뽀로로 극장판 눈요정 마을 대모험	 	21371300	0.3	5600100	35.5	1225538400	4332	1118	34.8	244982	66	90
20150103	5	5	0	OLD	20136802	카트	2014-11-13	1530000	0.0	-26000	-1.7	5917483433	175	-1	-0.6	813039	3	4
20150103	6	6	2	OLD	20128610	앙상블	2014-12-18	156000	0.0	102000	188.9	6255500	19	11	137.5	805	1	1
20150103	7	7	0	OLD	20143574	GROW: 인피니트의 리얼 청춘 라이프	2014-12-04	54000	0.0	-72000	-57.1	189643200	9	-12	-57.1	23904	1	1
20150103	8	8	1	OLD	20143985	명기	2014-12-30	9000	0.0	0	0	665000	1	0	0	244	1	1
20150103	1	1	0	OLD	20143344	눈의 여왕 2: 트롤의 마법거울	2014-12-24	146234100	68.6	7494400	5.4	4141586200	19882	1020	5.4	568042	229	357
20150103	2	2	0	OLD	20143045	내일을 위한 시간	2015-01-01	22276600	10.4	5465100	32.5	89656900	2605	599	29.9	10645	40	87
20150103	3	3	0	OLD	20141621	마미	2014-12-18	13772700	6.5	3605200	35.5	312395900	1588	375	30.9	39456	37	48
20150103	4	4	0	OLD	20143343	무드 인디고	2014-12-11	10884000	5.1	999500	10.1	297412200	1276	133	11.6	37035	28	45
20150103	5	5	0	OLD	20142964	클라우즈 오브 실스마리아	2014-12-18	9155700	4.3	3477700	61.2	195837999	1081	377	53.6	24515	22	26
20150103	6	6	1	OLD	20141783	맵 투 더 스타	2014-12-25	1867000	0.9	87900	4.9	45292300	240	18	8.1	5619	19	21
20150103	7	7	1	OLD	20142843	꾸뻬씨의 행복여행	2014-11-27	1842000	0.9	501000	37.4	904757783	232	58	33.3	123090	6	8
20150103	8	8	2	OLD	19548009	7인의 신부	1972-12-24	454000	0.2	122000	36.7	11948000	227	61	36.7	5944	1	4
20150103	9	9	0	OLD	19770088	바람과 함께 사라지다	1972-12-23	390000	0.2	41000	11.7	37053000	195	22	12.7	13532	1	2
20150103	10	10	1	OLD	19618001	초원의 빛	1972-03-18	320000	0.2	80000	33.3	26115000	160	40	33.3	12966	1	3
20150103	1	1	0	OLD	20143642	테이큰 3	2015-01-01	1997731000	48.3	393981900	24.6	7259940200	243237	47954	24.6	905800	614	2884
20150103	2	2	0	OLD	20149859	마다가스카의 펭귄	2014-12-31	1397328531	33.8	191433503	15.9	5339236559	179677	23723	15.2	697300	615	1953
20150103	3	3	0	OLD	20140226	호빗: 다섯 군대 전투	2014-12-17	466933069	11.3	72701397	18.4	22899326885	53194	8310	18.5	2677953	350	784
20150103	4	4	0	OLD	20149120	인터스텔라	2014-11-06	176472500	4.3	17097700	10.7	81199414700	18711	1907	11.3	10161398	102	178
20150103	5	5	0	OLD	20143602	일곱난쟁이	2014-12-24	47068500	1.1	1731400	3.8	1475769700	6619	225	3.5	206719	92	128
20150103	6	6	0	OLD	20143422	숲속으로	2014-12-24	34780800	0.8	198000	0.6	2534699088	4535	20	0.4	333651	107	146
20150103	7	7	0	OLD	19488009	레드 리버	 	1862000	0.0	57000	3.2	5217000	926	26	2.9	2601	1	4
20150103	8	8	0	OLD	20143543	사랑에 대한 모든 것	2014-12-10	3167800	0.1	668800	26.8	2133796946	356	77	27.6	274351	2	6
20150103	9	9	0	OLD	20142421	러브, 로지	2014-12-10	2637800	0.1	357300	15.7	2231247446	295	37	14.3	293013	2	3
20150103	10	10	2	OLD	20140842	엑소더스: 신들과 왕들	2014-12-03	1628000	0.0	1096000	206	12445755926	180	120	200	1511540	4	6
20150104	1	1	0	OLD	20141111	님아, 그 강을 건너지 마오	2014-11-27	891550100	79.2	-164265100	-15.6	34081984679	110585	-19975	-15.3	4367049	486	1863
20150104	2	2	0	OLD	20130574	개를 훔치는 완벽한 방법	2014-12-31	191687300	17.0	-23125736	-10.8	1192351965	24456	-3191	-11.5	155810	192	581
20150104	3	3	0	OLD	20141614	더 테너 리리코 스핀토	2014-12-31	29095000	2.6	-16543669	-36.2	311150441	3539	-2079	-37	40011	154	283
20150104	4	4	1	OLD	20143081	그 사람 그 사랑 그 세상	2014-11-20	8131000	0.7	5401000	197.8	182681500	890	597	203.8	24413	8	14
20150104	5	5	-1	OLD	20141114	쿼바디스	2014-12-10	2495500	0.2	-1907700	-43.3	126415000	331	-264	-44.4	16657	14	21
20150104	6	6	0	OLD	20141704	목숨	2014-12-04	978000	0.1	66000	7.2	278115100	124	-2	-1.6	36169	9	9
20150104	7	7	1	OLD	20141706	다이빙벨	2014-10-23	810000	0.1	316000	64	337888500	113	47	71.2	48796	6	7
20150104	8	8	2	OLD	20137564	파티51	2014-12-11	225000	0.0	89000	65.4	13947800	29	11	61.1	1870	4	4
20150104	9	9	0	OLD	20142798	제자, 옥한흠	2014-10-30	158000	0.0	-202000	-56.1	357188200	19	-22	-53.7	48636	3	3
20150104	10	10	2	OLD	20148840	자유의 언덕	2014-09-04	78000	0.0	12000	18.2	309426827	13	2	18.2	38138	1	1
20150104	1	1	0	OLD	20137048	국제시장	2014-12-17	4437089200	82.1	-665553436	-13	60542159661	552069	-80644	-12.7	7752903	1026	4871
20150104	2	2	0	OLD	20149265	기술자들	2014-12-24	806773600	14.9	-121472364	-13.1	17446004183	100324	-15202	-13.2	2249423	460	1742
20150104	3	3	0	OLD	20147176	상의원	2014-12-24	140057400	2.6	-32948000	-19	5986545064	17039	-4249	-20	761853	242	433
20150104	4	4	0	OLD	20143639	뽀로로 극장판 눈요정 마을 대모험	 	18170300	0.3	-3201000	-15	1243708700	3677	-655	-15.1	248659	64	88
20150104	5	5	0	OLD	20136802	카트	2014-11-13	1545000	0.0	15000	1	5919028433	174	-1	-0.6	813213	3	4
20150104	6	6	0	OLD	20128610	앙상블	2014-12-18	228000	0.0	72000	46.2	6483500	25	6	31.6	830	1	1
20150104	7	7	0	OLD	20143574	GROW: 인피니트의 리얼 청춘 라이프	2014-12-04	131000	0.0	77000	142.6	189774200	22	13	144.4	23926	1	1
20150104	8	8	0	NEW	20145161	두 번째 엄마 	2014-12-31	32000	0.0	32000	100	584000	4	4	100	157	2	2
20150104	9	9	-1	OLD	20143985	명기	2014-12-30	9000	0.0	0	0	674000	1	0	0	245	1	1
20150104	1	1	0	OLD	20143344	눈의 여왕 2: 트롤의 마법거울	2014-12-24	120875900	68.6	-25358200	-17.3	4262462100	16240	-3642	-18.3	584282	217	339
20150104	2	2	0	OLD	20143045	내일을 위한 시간	2015-01-01	19510400	11.1	-2766200	-12.4	109167300	2268	-337	-12.9	12913	40	88
20150104	3	3	0	OLD	20141621	마미	2014-12-18	12188100	6.9	-1584600	-11.5	324584000	1405	-183	-11.5	40861	34	47
20150104	4	4	0	OLD	20143343	무드 인디고	2014-12-11	10580300	6.0	-303700	-2.8	307992500	1219	-57	-4.5	38254	28	41
20150104	5	5	0	OLD	20142964	클라우즈 오브 실스마리아	2014-12-18	6365700	3.6	-2790000	-30.5	202203699	776	-305	-28.2	25291	20	25
20150104	6	6	0	OLD	20141783	맵 투 더 스타	2014-12-25	1806500	1.0	-60500	-3.2	47098800	227	-13	-5.4	5846	16	18
20150104	7	7	0	OLD	20142843	꾸뻬씨의 행복여행	2014-11-27	1700000	1.0	-142000	-7.7	906457783	214	-18	-7.8	123304	5	6
20150104	8	8	3	OLD	20149910	보이후드	2014-10-23	615000	0.3	-257000	-29.5	1431454018	88	-10	-10.2	186099	2	2
20150104	9	9	3	OLD	20148424	액트 오브 킬링	2014-11-20	644000	0.4	-129500	-16.7	57921869	79	-15	-16	7270	3	3
20150104	10	10	7	OLD	20040756	하울의 움직이는 성	2004-12-23	505000	0.3	-75000	-12.9	16486605817	62	-5	-7.5	2613303	4	4
20150104	1	1	0	OLD	20143642	테이큰 3	2015-01-01	1670511000	47.2	-327220000	-16.4	8930451200	203340	-39897	-16.4	1109140	616	2826
20150104	2	2	0	OLD	20149859	마다가스카의 펭귄	2014-12-31	1270016300	35.9	-127312231	-9.1	6609252859	162478	-17199	-9.6	859778	613	1943
20150104	3	3	0	OLD	20140226	호빗: 다섯 군대 전투	2014-12-17	377876400	10.7	-89056669	-19.1	23277203285	42865	-10329	-19.4	2720818	344	754
20150104	4	4	0	OLD	20149120	인터스텔라	2014-11-06	134006300	3.8	-42466200	-24.1	81333421000	14524	-4187	-22.4	10175922	109	174
20150104	5	5	0	OLD	20143602	일곱난쟁이	2014-12-24	41560700	1.2	-5507800	-11.7	1517330400	5722	-897	-13.6	212441	92	127
20150104	6	6	0	OLD	20143422	숲속으로	2014-12-24	31156400	0.9	-3624400	-10.4	2565855488	4019	-516	-11.4	337670	108	145
20150104	7	7	0	OLD	19488009	레드 리버	 	1350000	0.0	-512000	-27.5	6567000	675	-251	-27.1	3276	1	4
20150104	8	8	0	OLD	20143543	사랑에 대한 모든 것	2014-12-10	2795000	0.1	-372800	-11.8	2136591946	318	-38	-10.7	274669	2	5
20150104	9	9	0	NEW	19790078	깊은밤 깊은 곳에	1979-01-20	472000	0.0	472000	100	472000	236	236	100	236	1	3
20150104	10	10	0	NEW	19900139	황금광 시대	1990-02-17	424000	0.0	424000	100	3358000	212	212	100	1029	1	4
20150105	1	1	0	OLD	20141111	님아, 그 강을 건너지 마오	2014-11-27	298394000	75.2	-593156100	-66.5	34380378679	40645	-69940	-63.2	4407694	454	1787
20150105	2	2	0	OLD	20130574	개를 훔치는 완벽한 방법	2014-12-31	79415400	20.0	-112271900	-58.6	1271767365	10820	-13636	-55.8	166630	197	606
20150105	3	3	0	OLD	20141614	더 테너 리리코 스핀토	2014-12-31	15928300	4.0	-13166700	-45.3	327078741	2124	-1415	-40	42135	162	302
20150105	4	4	1	OLD	20141114	쿼바디스	2014-12-10	1740500	0.4	-755000	-30.3	128155500	228	-103	-31.1	16885	10	16
20150105	5	5	1	OLD	20141704	목숨	2014-12-04	298500	0.1	-679500	-69.5	278413600	41	-83	-66.9	36210	7	8
20150105	6	6	1	OLD	20141706	다이빙벨	2014-10-23	239000	0.1	-571000	-70.5	338127500	30	-83	-73.5	48826	5	7
20150105	7	7	2	OLD	20142798	제자, 옥한흠	2014-10-30	157000	0.0	-1000	-0.6	357345200	21	2	10.5	48657	2	4
20150105	8	8	2	OLD	20148840	자유의 언덕	2014-09-04	150000	0.0	72000	92.3	309576827	19	6	46.2	38157	1	1
20150105	9	9	-5	OLD	20143081	그 사람 그 사랑 그 세상	2014-11-20	88000	0.0	-8043000	-98.9	182769500	17	-873	-98.1	24430	4	7
20150105	10	10	-2	OLD	20137564	파티51	2014-12-11	104000	0.0	-121000	-53.8	14051800	13	-16	-55.2	1883	2	3
20150105	1	1	0	OLD	20137048	국제시장	2014-12-17	1558134100	80.1	-2878955100	-64.9	62100293761	210765	-341304	-61.8	7963668	910	4384
20150105	2	2	0	OLD	20149265	기술자들	2014-12-24	316204600	16.2	-490569000	-60.8	17762208783	43399	-56925	-56.7	2292822	473	1744
20150105	3	3	0	OLD	20147176	상의원	2014-12-24	62025400	3.2	-78032000	-55.7	6048570464	8177	-8862	-52	770030	252	467
20150105	4	4	0	OLD	20143639	뽀로로 극장판 눈요정 마을 대모험	 	3258100	0.2	-14912200	-82.1	1246966800	646	-3031	-82.4	249305	38	48
20150105	5	5	0	NEW	20147947	워킹걸	2015-01-07	4848000	0.2	4848000	100	22924000	606	606	100	2975	4	4
20150105	6	6	-1	OLD	20136802	카트	2014-11-13	1652000	0.1	107000	6.9	5920680433	204	30	17.2	813417	4	5
20150105	7	7	0	NEW	20140121	1789, 바스티유의 연인들	2014-09-18	142000	0.0	142000	100	68230500	8	8	100	4021	1	1
20150105	8	8	-2	OLD	20128610	앙상블	2014-12-18	18000	0.0	-210000	-92.1	6501500	3	-22	-88	833	1	1
20150105	9	9	0	OLD	20143985	명기	2014-12-30	8000	0.0	-1000	-11.1	682000	1	0	0	246	1	1
20150105	10	10	0	NEW	20145393	2015 우수 단편영화 상영 01	 	0	0.0	0	100	0	0	0	100	0	1	1
20150105	1	1	0	OLD	20143344	눈의 여왕 2: 트롤의 마법거울	2014-12-24	30261600	40.6	-90614300	-75	4292723700	4293	-11947	-73.6	588575	166	255
20150105	2	2	0	OLD	20143045	내일을 위한 시간	2015-01-01	10000000	13.4	-9510400	-48.7	119167300	1321	-947	-41.8	14234	39	83
20150105	3	3	0	NEW	20144522	바티칸 뮤지엄	2015-01-08	12930000	17.3	12930000	100	12930000	1197	1197	100	1197	5	6
20150105	4	4	-1	OLD	20141621	마미	2014-12-18	5764500	7.7	-6423600	-52.7	330348500	745	-660	-47	41606	31	38
20150105	5	5	0	NEW	20144701	노엘의 선물	2015-02-05	4784000	6.4	4784000	100	5792000	598	598	100	766	2	2
20150105	6	6	-2	OLD	20143343	무드 인디고	2014-12-11	4702000	6.3	-5878300	-55.6	312694500	590	-629	-51.6	38844	27	43
20150105	7	7	-2	OLD	20142964	클라우즈 오브 실스마리아	2014-12-18	3029000	4.1	-3336700	-52.4	205232699	391	-385	-49.6	25682	17	22
20150105	8	8	-1	OLD	20142843	꾸뻬씨의 행복여행	2014-11-27	862000	1.2	-838000	-49.3	907319783	126	-88	-41.1	123430	5	5
20150105	9	9	-3	OLD	20141783	맵 투 더 스타	2014-12-25	765000	1.0	-1041500	-57.7	47863800	103	-124	-54.6	5949	14	14
20150105	10	10	-1	OLD	20148424	액트 오브 킬링	2014-11-20	282000	0.4	-362000	-56.2	58203869	40	-39	-49.4	7310	2	2
20150105	1	1	0	OLD	20143642	테이큰 3	2015-01-01	652944800	50.6	-1017566200	-60.9	9583396000	85036	-118304	-58.2	1194176	583	2788
20150105	2	2	0	OLD	20149859	마다가스카의 펭귄	2014-12-31	383859200	29.8	-886157100	-69.8	6993112059	52448	-110030	-67.7	912226	528	1712
20150105	3	3	0	OLD	20140226	호빗: 다섯 군대 전투	2014-12-17	139906500	10.8	-237969900	-63	23417109785	16910	-25955	-60.6	2737728	327	776
20150105	4	4	0	OLD	20149120	인터스텔라	2014-11-06	69774400	5.4	-64231900	-47.9	81403195400	7777	-6747	-46.5	10183699	103	188
20150105	5	5	0	OLD	20143602	일곱난쟁이	2014-12-24	12681600	1.0	-28879100	-69.5	1530012000	1836	-3886	-67.9	214277	62	92
