date	rnum	rank	rankInten	rankOldAndNew	movieCd	movieNm	openDt	salesAmt	salesShare	salesInten	salesChange	salesAcc	audiCnt	audiInten	audiChange	audiAcc	scrnCnt	showCnt
20160101	1	1	1	OLD	20156047	나쁜 나라	2015-12-03	969000	26.9	-177000	-15.4	112049400	138	-31	-18.3	16506	10	15
20160101	2	2	-1	OLD	20133531	나의 아들, 나의 어머니	2015-12-17	516000	14.3	-667000	-56.4	26610800	76	-127	-62.6	3680	9	10
20160101	3	3	0	NEW	20159643	글로리데이	2016-03-24	584000	16.2	584000	100	2256800	73	73	100	227	1	1
20160101	4	4	-1	OLD	20151782	지금은맞고그때는틀리다	2015-09-24	399500	11.1	122500	44.2	658472100	46	9	24.3	79886	2	2
20160101	5	5	0	NEW	20158824	프랑스 영화처럼	2016-01-14	246000	6.8	246000	100	246000	31	31	100	31	1	1
20160101	6	5	1	OLD	20152368	인 허 플레이스	2015-12-17	257000	7.1	108000	72.5	10929400	31	11	55	1465	4	6
20160101	7	7	-3	OLD	20132799	족구왕	2014-08-21	238000	6.6	-24000	-9.2	363795500	28	-4	-12.5	46208	1	1
20160101	8	8	-1	OLD	20141602	소셜포비아	2015-03-12	136000	3.8	-16000	-10.5	1965978163	17	-2	-10.5	250048	1	1
20160101	9	8	0	NEW	20155388	초인	2016-05-05	132000	3.7	132000	100	603400	17	17	100	97	1	1
20160101	10	10	2	OLD	20148667	친애하는 지도자동지께	2015-12-31	77000	2.1	70000	1000	84000	11	10	1000	12	2	2
20160101	1	1	0	OLD	20136068	히말라야	2015-12-16	4529795647	53.5	2303664641	103.5	43999571095	554307	259690	88.1	5683716	955	4678
20160101	2	2	0	OLD	20150025	내부자들: 디 오리지널	2015-12-31	2092539355	24.7	864281640	70.4	3329327070	247992	88926	55.9	408140	822	2088
20160101	3	3	0	OLD	20144442	조선마술사	2015-12-30	1153061953	13.6	387563159	50.6	2659511747	145065	40336	38.5	369722	608	2319
20160101	4	4	0	OLD	20145171	대호	2015-12-16	531656900	6.3	216401900	68.6	12636465232	66476	24178	57.2	1650644	409	974
20160101	5	5	0	OLD	20156807	뽀로로 극장판 컴퓨터 왕국 대모험	2015-12-10	96435100	1.1	27436400	39.8	2998525700	12243	2749	29	404003	151	245
20160101	6	6	0	OLD	20149314	내부자들	2015-11-19	56506400	0.7	1288500	2.3	56522172057	6688	-290	-4.2	7062020	51	82
20160101	7	7	0	NEW	19750002	애수의 샌프란시스코	1975-03-28	495000	0.0	495000	100	495000	251	251	100	251	1	4
20160101	8	8	-1	OLD	20145503	검은 사제들	2015-11-05	750000	0.0	300000	66.7	42406032092	125	50	66.7	5442253	4	4
20160101	9	9	1	OLD	20157501	극적인 하룻밤	2015-12-03	529000	0.0	258000	95.2	2611096429	60	26	76.5	320944	7	7
