date	rnum	rank	rankInten	rankOldAndNew	movieCd	movieNm	openDt	salesAmt	salesShare	salesInten	salesChange	salesAcc	audiCnt	audiInten	audiChange	audiAcc	scrnCnt	showCnt
20130101	1	1	2	OLD	20126001	백야	2012-11-15	537000	28.4	435000	426.5	33675200	68	54	385.7	4689	4	4
20130101	2	2	0	NEW	20127526	러시안 소설	2013-09-19	486000	25.7	486000	100	486000	61	61	100	61	1	1
20130101	3	3	-2	OLD	20120107	내가 고백을 하면	2012-11-15	352000	18.6	96000	37.5	87976000	44	12	37.5	11559	1	1
20130101	4	4	0	OLD	20120430	철가방 우수氏	2012-11-22	148000	7.8	84000	131.3	601661500	25	17	212.5	92013	3	6
20130101	5	5	5	OLD	20121550	개들의 전쟁	2012-11-22	113000	6.0	75000	197.4	171117571	16	11	220	23366	2	3
20130101	6	6	-1	OLD	20121072	남쪽으로 간다	2012-11-15	51500	2.7	32000	164.1	8280750	15	9	150	2247	3	3
20130101	7	6	-1	OLD	20126507	지난 여름, 갑자기	2012-11-15	51500	2.7	32000	164.1	11397750	15	9	150	2717	3	3
20130101	8	8	-3	OLD	20112795	영화판	2012-12-06	78000	4.1	36000	85.7	9321500	13	7	116.7	1376	3	5
20130101	9	9	2	OLD	20128609	반드시 크게 들을 것 2 : Wild Days	2012-11-22	35000	1.8	17000	94.4	14314800	5	2	66.7	1955	1	1
20130101	10	10	-5	OLD	20122761	차이나 블루	2012-12-13	23000	1.2	-18000	-43.9	3587400	3	-3	-50	471	1	1
20130101	1	1	0	OLD	20124039	타워	2012-12-25	3112041500	67.2	856326000	38	17770298000	416310	96307	30.1	2430899	609	3120
20130101	2	2	0	OLD	20124399	반창꼬	2012-12-19	1064822000	23.0	126124500	13.4	13524674719	141880	8235	6.2	1872415	381	1785
20130101	3	3	0	OLD	20128687	가문의 영광5 - 가문의 귀환	2012-12-19	362515500	7.8	5693000	1.6	7607572000	48205	-2759	-5.4	1060428	224	809
20130101	4	4	0	OLD	20124936	나의 PS 파트너 	2012-12-06	74990500	1.6	-69804000	-48.2	13623597116	9392	-10142	-51.9	1796223	80	214
20130101	5	5	0	OLD	20088506	26년	2012-11-29	18686500	0.4	-17746500	-48.7	21130564645	2421	-2727	-53	2942896	24	62
20130101	6	6	3	OLD	20124054	늑대소년	2012-10-31	827000	0.0	137000	19.9	46590934000	120	6	5.3	6654510	2	7
20130101	7	7	0	NEW	20123365	전망좋은해변-두여자	2012-12-26	30000	0.0	30000	100	230000	5	5	100	35	1	1
20130101	8	8	3	OLD	20124075	내가 살인범이다	2012-11-08	24000	0.0	-24000	-50	20392290000	3	-3	-50	2729801	1	1
20130101	1	1	0	OLD	20112561	원 데이	2012-12-13	23576000	35.4	8459000	56	1303130000	2863	752	35.6	177933	23	63
20130101	2	2	0	OLD	20122101	아무르	2012-12-19	17505500	26.3	2155000	14	207566400	2119	37	1.8	26631	24	47
20130101	3	3	0	OLD	20122229	로얄 어페어	2012-12-27	8123500	12.2	5500	0.1	47636000	960	-125	-11.5	5953	17	37
20130101	4	4	0	OLD	20122861	고양이를 빌려드립니다	2012-12-13	3772500	5.7	-163000	-4.1	76261300	504	-35	-6.5	9855	12	19
20130101	5	5	1	OLD	19780066	사운드 오브 뮤직	1978-02-04	987000	1.5	205000	26.2	15652500	471	94	24.9	7115	1	3
20130101	6	6	2	OLD	20120941	엔딩노트	2012-11-29	1428500	2.1	652000	84	62550000	233	123	111.8	8918	6	10
20130101	7	7	2	OLD	20125567	밤의 이야기	2012-11-29	1184500	1.8	438500	58.8	85603000	158	50	46.3	11283	9	10
20130101	8	8	0	NEW	20121095	심플 라이프	2012-11-22	664000	1.0	664000	100	80674500	126	126	100	10835	2	2
20130101	9	9	1	OLD	20128746	서칭 포 슈가맨	2012-10-11	890000	1.3	186000	26.4	170366600	123	16	15	23607	4	4
20130101	10	10	5	OLD	19980230	아라비아의 로렌스	1998-10-24	212000	0.3	56000	35.9	368000	106	28	35.9	184	1	2
20130101	1	1	0	OLD	20128274	레미제라블	2012-12-19	2206113000	42.7	414666500	23.1	25634718500	293220	38957	15.3	3503327	592	2466
20130101	2	2	0	NEW	20128386	라이프 오브 파이	2013-01-01	1465409500	28.4	1465409500	100	1523484500	161038	161038	100	166128	392	1803
20130101	3	3	-1	OLD	20125048	호빗: 뜻밖의 여정	2012-12-13	464636500	9.0	-125103000	-21.2	22188705566	58350	-13590	-18.9	2663474	280	778
20130101	4	4	-1	OLD	20129388	주먹왕 랄프	2012-12-19	389602500	7.5	61007500	18.6	4863164500	53121	6386	13.7	669984	286	628
20130101	5	5	0	OLD	20126388	잠베지아: 신비한 나무섬의 비밀	2012-12-25	287897000	5.6	41093000	16.7	2042489000	40026	4566	12.9	280629	240	553
20130101	6	6	-2	OLD	20122523	니코: 산타비행단의 모험	2012-12-25	268369500	5.2	29336000	12.3	1944403000	38077	2067	5.7	281139	260	547
20130101	7	7	1	OLD	20126407	가디언즈	2012-11-29	44137000	0.9	8425500	23.6	8127147500	6307	902	16.7	1062557	53	98
20130101	8	8	-2	OLD	20128247	극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」	2012-12-19	21795000	0.4	-30263750	-58.1	1303045750	5041	-8004	-61.4	334601	48	78
20130101	9	9	-2	OLD	20123217	극장판 포켓몬스터 베스트위시「메로엣타의 반짝반짝 음악회」	2012-12-19	11757000	0.2	-21992250	-65.2	928727250	3499	-6623	-65.4	276797	35	56
20130101	10	10	-1	OLD	20122192	극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전 	2012-12-13	5244000	0.1	-7485000	-58.8	740849000	781	-1131	-59.2	108184	15	18
20130102	1	1	3	OLD	20120430	철가방 우수氏	2012-11-22	150000	21.4	2000	1.4	601811500	19	-6	-24	92032	2	2
20130102	2	2	1	OLD	20120107	내가 고백을 하면	2012-11-15	104000	14.8	-248000	-70.5	88080000	13	-31	-70.5	11572	1	1
