date	rnum	rank	rankInten	rankOldAndNew	movieCd	movieNm	openDt	salesAmt	salesShare	salesInten	salesChange	salesAcc	audiCnt	audiInten	audiChange	audiAcc	scrnCnt	showCnt
20140101	1	1	0	OLD	19770055	겨울여자	1977-09-27	1847000	21.9	233000	14.4	7472000	916	109	13.5	3666	1	4
20140101	2	2	6	OLD	20131245	블랙 가스펠	2013-11-14	1988000	23.5	1759000	768.1	353599500	282	253	872.4	51267	3	3
20140101	3	3	0	OLD	20135521	잉여들의 히치하이킹	2013-11-28	1625000	19.2	-2169000	-57.2	155848500	211	-379	-64.2	22377	12	13
20140101	4	4	-2	OLD	20136892	청야	2013-12-26	660000	7.8	-1577000	-70.5	12165000	134	-570	-81	3439	1	5
20140101	5	5	0	OLD	20134474	시바, 인생을 던져	2013-12-19	955000	11.3	237000	33	21715400	124	20	19.2	2809	10	12
20140101	6	6	0	OLD	20132805	안녕?! 오케스트라	2013-11-28	659000	7.8	284000	75.7	88881000	95	39	69.6	14160	8	9
20140101	7	7	0	OLD	20130982	풍경	2013-12-12	246000	2.9	-6000	-2.4	11699600	37	3	8.8	1737	9	10
20140101	8	7	-3	OLD	20122782	그녀가 부른다	2013-12-26	187000	2.2	-384000	-67.3	12722000	37	-75	-67	2187	2	3
20140101	9	9	0	OLD	20131263	사이비	2013-11-21	201000	2.4	99000	97.1	162923300	27	14	107.7	21891	3	3
20140101	10	10	0	NEW	20136321	셔틀콕	2014-04-24	48000	0.6	48000	100	1197500	6	6	100	198	1	1
20140101	1	1	0	OLD	20134803	변호인	2013-12-18	5079908000	69.8	1839460000	56.8	46033306000	671427	206008	44.3	6358474	887	4448
20140101	2	2	0	OLD	20124938	용의자	2013-12-24	2014996000	27.7	686538000	51.7	17644488500	267146	75459	39.4	2443898	588	2419
20140101	3	3	0	OLD	20134123	집으로 가는 길	2013-12-11	150550500	2.1	36723000	32.3	12523890245	19443	3165	19.4	1782674	139	304
20140101	4	4	0	OLD	20139981	캐치미	2013-12-18	29730500	0.4	8634000	40.9	3322993000	3748	590	18.7	484182	51	95
20140101	5	5	4	OLD	20136998	몽정애-꿈 속의 여인	2013-12-31	45000	0.0	5000	12.5	85000	20	10	100	30	2	2
20140101	6	6	1	OLD	20136061	결혼전야	2013-11-21	109000	0.0	-23000	-17.4	8434284719	16	-9	-36	1212859	2	2
20140101	7	7	0	NEW	20137028	2014년 1월 인디애니씨앗터 아빠와 크레파스 	 	15000	0.0	15000	100	15000	3	3	100	3	1	1
20140101	1	1	0	OLD	20133704	그렇게 아버지가 된다	2013-12-19	39047000	57.0	12744838	48.5	410596562	4844	1239	34.4	54131	36	95
20140101	2	2	0	OLD	20136289	아무도 머물지 않았다	2013-12-26	7279500	10.6	1698000	30.4	53554500	871	82	10.4	6971	23	39
20140101	3	3	3	OLD	20138272	프라미스드 랜드 	2013-12-12	5806000	8.5	2761338	90.7	171870662	746	306	69.5	23012	23	28
20140101	4	4	1	OLD	20134047	로렌스 애니웨이	2013-12-19	4374500	6.4	951500	27.8	77261956	504	59	13.3	9819	18	20
20140101	5	5	2	OLD	20133421	셜리에 관한 모든 것	2013-12-26	2620500	3.8	450000	20.7	16607900	327	42	14.7	2083	6	11
20140101	6	6	0	NEW	19638016	007 제2편 : 위기일발	1973-09-21	474000	0.7	474000	100	7920000	237	237	100	3950	1	4
20140101	7	7	-4	OLD	20136947	포르노 아티스트	2013-12-26	418000	0.6	-937000	-69.2	9141000	209	-461	-68.8	4503	1	1
20140101	8	8	0	OLD	20136810	러브액츄얼리: 크리스마스 에디션	2013-12-18	1336500	1.9	-114500	-7.9	222057147	161	-35	-17.9	29033	7	7
20140101	9	9	0	NEW	20123484	실버라이닝 플레이북	2013-02-14	1055000	1.5	1055000	100	948677500	123	123	100	126965	2	2
20140101	10	10	5	OLD	20135462	글로리아	2013-12-05	676000	1.0	102000	17.8	53291400	85	12	16.4	7132	2	2
20140101	1	1	0	OLD	20131246	엔더스 게임	2013-12-31	1237096000	29.9	323271000	35.4	2466384000	159750	33963	27	326283	456	2086
20140101	2	2	0	OLD	20134046	월터의 상상은 현실이 된다	2013-12-31	891372500	21.5	247352500	38.4	1634414500	118642	24854	26.5	225920	344	1620
20140101	3	3	1	OLD	20134206	썬더와 마법저택	2013-12-24	587466000	14.2	205387000	53.8	3696881000	83013	23891	40.4	542308	383	846
20140101	4	4	-1	OLD	20135428	어바웃 타임	2013-12-05	495565500	12.0	63600500	14.7	21404538500	62901	1660	2.7	2918966	272	776
20140101	5	5	0	OLD	20135369	저스틴	2013-12-31	365156000	8.8	146668500	67.1	602885500	52069	17927	52.5	88745	332	711
20140101	6	6	0	OLD	20134267	호빗: 스마우그의 폐허	2013-12-12	254263500	6.1	65223000	34.5	16818448049	32717	6638	25.5	2148595	169	373
20140101	7	7	0	OLD	20134984	다이노소어 어드벤처 3D	2013-12-19	225230500	5.4	81891500	57.1	4366160500	27792	8842	46.7	534956	271	445
20140101	8	8	0	OLD	20136308	비행기	2013-12-19	38565000	0.9	7386500	23.7	1536166500	5261	773	17.2	214914	58	70
20140101	9	9	0	OLD	20135427	세이빙 산타	2013-12-19	29725500	0.7	2904000	10.8	1452889500	4268	4	0.1	225016	103	133
20140101	10	10	0	NEW	20112373	맹룡과강	1974-10-11	360000	0.0	360000	100	3502000	720	720	100	1234	1	4
20140102	1	1	0	OLD	19770055	겨울여자	1977-09-27	1366000	19.1	-481000	-26	8838000	683	-233	-25.4	4349	1	4
20140102	2	2	1	OLD	20135521	잉여들의 히치하이킹	2013-11-28	2380000	33.3	755000	46.5	158228500	438	227	107.6	22815	11	13
20140102	3	3	3	OLD	20132805	안녕?! 오케스트라	2013-11-28	1307500	18.3	648500	98.4	90188500	189	94	98.9	14349	4	7
20140102	4	4	0	NEW	20120108	지슬 - 끝나지 않은 세월2	2013-03-21	454000	6.4	454000	100	986893100	69	69	100	143845	4	4
20140102	5	5	0	OLD	20134474	시바, 인생을 던져	2013-12-19	453000	6.3	-502000	-52.6	22168400	63	-61	-49.2	2872	10	15
20140102	6	6	-2	OLD	20136892	청야	2013-12-26	280000	3.9	-380000	-57.6	12445000	60	-74	-55.2	3499	3	7
20140102	7	7	0	OLD	20122782	그녀가 부른다	2013-12-26	285000	4.0	98000	52.4	13007000	50	13	35.1	2237	3	3
20140102	8	8	-1	OLD	20130982	풍경	2013-12-12	147000	2.1	-99000	-40.2	11846600	24	-13	-35.1	1761	8	8
20140102	9	9	-7	OLD	20131245	블랙 가스펠	2013-11-14	90000	1.3	-1898000	-95.5	353689500	12	-270	-95.7	51279	1	1
20140102	10	9	0	NEW	20137041	우리 선희	2013-09-12	90000	1.3	90000	100	529805900	12	12	100	68709	1	1
20140102	1	1	0	OLD	20134803	변호인	2013-12-18	1850933000	67.5	-3228975000	-63.6	47884239000	263381	-408046	-60.8	6621855	827	4096
20140102	2	2	0	OLD	20124938	용의자	2013-12-24	807913000	29.5	-1207083000	-59.9	18452401500	114208	-152938	-57.2	2558106	574	2377
20140102	3	3	0	OLD	20134123	집으로 가는 길	2013-12-11	68228500	2.5	-82322000	-54.7	12592118745	9548	-9895	-50.9	1792222	149	331
20140102	4	4	0	OLD	20139981	캐치미	2013-12-18	10036500	0.4	-19694000	-66.2	3333029500	1414	-2334	-62.3	485596	46	93
20140102	5	5	1	OLD	20136061	결혼전야	2013-11-21	3820000	0.1	3711000	3404.6	8438104719	735	719	4493.8	1213594	5	6
20140102	6	6	0	NEW	20138224	플랜맨	2014-01-09	1266000	0.0	1266000	100	20571000	211	211	100	3652	1	1
20140102	7	7	-2	OLD	20136998	몽정애-꿈 속의 여인	2013-12-31	745000	0.0	700000	1555.6	830000	160	140	700	190	5	5
20140102	1	1	0	OLD	20133704	그렇게 아버지가 된다	2013-12-19	13313000	41.5	-25734000	-65.9	423909562	1829	-3015	-62.2	55960	39	90
20140102	2	2	0	OLD	20136289	아무도 머물지 않았다	2013-12-26	3647500	11.4	-3632000	-49.9	57202000	516	-355	-40.8	7487	26	36
20140102	3	3	17	OLD	20133882	시절인연	2014-01-01	3555000	11.1	3256000	1089	4974000	492	457	1305.7	687	21	40
20140102	4	4	0	NEW	20134532	마드모아젤 C	2014-01-02	2648000	8.2	2648000	100	3512000	378	378	100	486	6	8
